player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,fantasyPts,ptsPerSnap,ptsPerTouch
AJ Brown,48327,WR,TEN,19.0,13.2,18.0,61.3,29.2,7.0,24.0,2,6.6,4.0,0.07,42.0,31,1.0,69.4,44.4,81.8,66.2,80.9,0.0,0.0,2.0,91.0,0.2,1.0,487.0,4.0,47.0,57.0,94.7,461.0,12.5,61.0,122.8,93.0,8.0,87.5,426.0,1115.0,498.0,8.7,19.6,2.42,2019,243.5,0.32,3.48
AJ Brown,48327,WR,TEN,16.333,12.0,18.0,66.9,61.3,15.0,28.667,0,7.8,6.0,0.197,54.0,31,1.667,59.667,33.333,87.533,,87.233,0.467,2.0,2.0,79.0,0.067,0.333,467.0,2.667,50.6,69.667,94.7,442.333,15.1,70.333,129.933,103.667,10.667,84.433,394.667,1143.667,466.667,6.833,16.667,2.587,2020,180.9,0.3,2.78
AJ Brown,48327,WR,TEN,15.0,12.686,12.286,63.986,50.0,13.857,27.143,1,10.029,7.714,0.159,51.143,31,0.714,51.514,60.914,86.829,,88.129,0.486,2.0,2.0,66.429,0.029,0.143,424.714,2.857,49.971,68.714,94.7,402.143,25.5,105.0,114.257,107.286,8.0,73.843,317.143,1067.857,338.286,4.986,15.657,2.663,2021,303.6,0.3,3.45
AJ Brown,48327,WR,PHI,17.571,12.829,16.286,64.129,46.9,15.0,30.143,0,8.257,7.571,0.12,60.857,24,1.429,59.943,46.943,87.686,,89.086,0.243,1.0,2.571,71.286,0.0,0.0,578.714,2.286,47.343,88.0,94.7,548.143,26.6,151.571,114.7,137.286,10.286,73.014,425.286,1392.571,487.286,5.357,15.743,2.57,2022,293.6,0.29,2.77
AJ Brown,48327,WR,PHI,17.429,12.629,17.714,66.914,45.2,14.143,30.571,0,5.586,5.571,0.081,66.143,24,1.714,76.514,41.714,88.814,80.3,89.743,0.186,0.857,3.429,64.143,0.286,1.714,603.571,2.143,46.443,99.143,94.929,572.857,25.786,153.286,107.529,147.714,8.286,73.9,448.429,1445.571,488.0,4.886,14.614,2.534,2023,216.9,0.28,3.24
AJ Brown,48327,WR,PHI,17.429,12.686,18.0,67.271,59.4,17.0,31.714,0,3.386,3.286,0.14,65.571,24,0.857,86.329,61.943,89.786,,90.471,0.057,0.286,3.286,66.286,0.143,0.857,562.286,2.571,47.571,89.857,94.471,531.286,20.343,117.0,113.071,133.429,8.857,79.557,444.571,1360.286,457.571,5.1,15.214,2.564,2024,220.3,0.26,2.82
AJ Green,6156,WR,CIN,16.0,14.3,8.0,56.0,43.2,19.0,44.0,0,6.3,5.0,-0.05,55.0,7,2.0,71.7,27.8,82.2,,82.7,0.0,0.0,7.0,77.0,0.0,0.0,543.0,5.0,41.2,75.0,95.2,517.0,13.6,74.0,80.4,134.0,8.0,86.2,468.0,1078.0,292.0,3.9,14.4,2.09,2017,151.4,0.33,3.29
AJ Green,6156,WR,CIN,16.0,14.167,5.333,49.667,46.3,19.0,42.0,0,6.1,3.667,-0.037,41.0,7,0.667,71.7,62.067,71.6,,71.367,0.0,0.0,4.333,47.667,0.0,0.0,539.667,3.0,42.067,56.333,95.333,514.333,18.533,100.0,64.6,112.0,4.0,81.4,439.333,708.0,152.667,2.5,12.2,1.377,2020,156.8,0.18,2.9
AJ Green,6156,WR,ARZ,16.571,13.557,6.286,54.486,50.0,15.571,32.857,0,5.643,3.286,0.036,38.714,1,0.286,69.757,72.314,69.429,,70.414,0.114,0.571,3.0,44.429,0.0,0.0,570.143,4.143,45.4,55.0,94.514,538.714,12.857,72.0,79.286,101.143,3.429,87.0,497.429,788.0,176.286,3.129,14.2,1.459,2021,59.6,0.11,2.48
Adam Humphries,10075,WR,TB,16.0,6.9,6.0,74.4,56.3,9.0,16.0,0,6.2,4.0,0.09,34.0,30,1.0,70.3,50.3,63.0,,62.4,0.6,3.0,0.0,43.0,0.0,0.0,534.0,0.0,48.9,61.0,93.4,499.0,82.0,438.0,100.2,82.0,1.0,16.5,88.0,631.0,300.0,4.9,10.3,1.26,2017,188.7,0.24,2.42
Adam Humphries,10075,WR,TB,16.0,6.3,8.0,74.0,46.2,7.0,14.0,1,4.6,3.333,0.183,43.333,30,0.333,79.567,75.1,71.133,,70.133,0.4,2.333,0.667,48.333,0.0,0.0,580.667,0.667,51.1,71.0,93.733,544.333,83.267,484.0,105.867,96.0,3.667,15.633,90.667,754.333,388.667,5.433,10.567,1.38,2018,86.5,0.23,2.28
Adam Humphries,10075,WR,TEN,14.286,6.871,4.0,76.743,66.7,6.429,11.143,0,3.343,2.0,0.061,31.714,31,0.143,81.529,81.557,71.286,69.4,71.314,0.171,1.0,0.286,37.857,0.4,1.143,418.0,0.286,46.357,53.857,93.429,391.0,84.143,350.857,109.086,70.857,2.714,14.986,63.429,551.286,240.857,4.157,10.071,1.42,2019,57.8,0.25,2.51
Adam Humphries,10075,WR,TEN,10.0,8.657,1.571,72.886,33.3,4.286,9.571,0,3.629,1.286,0.081,19.714,31,0.0,77.343,80.214,71.086,,71.029,0.043,0.286,0.714,29.0,0.2,0.571,266.857,0.143,46.771,35.714,92.786,248.429,82.5,221.857,102.529,48.429,2.429,17.171,43.714,360.857,124.714,2.871,9.957,1.46,2020,79.3,0.12,1.93
Adam Thielen,8288,WR,MIN,18.0,11.1,8.0,65.8,47.4,18.0,38.0,0,4.8,5.0,0.15,63.0,18,3.0,76.9,27.4,82.4,66.8,80.1,0.7,5.0,3.0,65.0,0.3,2.0,694.0,4.0,47.7,100.0,92.4,641.0,48.7,338.0,95.2,152.0,4.0,50.4,350.0,1378.0,436.0,4.4,13.8,2.15,2017,307.3,0.3,2.6
Adam Thielen,8288,WR,MIN,16.667,10.367,6.667,72.467,38.9,10.667,24.667,0,4.4,5.0,0.063,70.333,18,1.667,85.633,51.067,87.067,77.7,86.3,0.833,5.667,3.0,67.0,0.367,2.667,694.0,2.0,47.9,108.667,93.733,650.333,53.967,374.667,108.667,150.0,7.333,45.133,313.333,1374.667,424.667,3.933,12.733,2.117,2018,114.4,0.26,3.36
