year,team,head_coach,offensive_coordinator,offensive_playcaller,prev_hc_team,prev_oc_team,hc_playcaller,oc_playcaller,hired,oc_hired
2017,ARI,Bruce Arians,Harold Goodwin,Bruce Arians,IND,IND,true,false,2013,2013
2017,ATL,Dan Quinn,Steve Sarkisian,Steve Sarkisian,SEA,Alabama,false,true,2015,2017
2017,BAL,John Harbaugh,Marty Mornhinweg,Marty Mornhinweg,PHI,BAL,false,true,2008,2016
2017,BUF,Sean McDermott,Rick Dennison,Rick Dennison,CAR,DEN,false,true,2017,2017
2017,CAR,Ron Rivera,Mike Shula,Mike Shula,LAC,CAR,false,true,2011,2013
2017,CHI,John Fox,Dowell Loggains,Dowell Loggains,DEN,CHI,false,true,2015,2016
2017,CIN,Marvin Lewis,Ken Zampese,Ken Zampese,WAS,CIN,false,true,2003,2016
2017,CLE,Hue Jackson,NONE,Hue Jackson,CIN,,true,false,2016,
2017,DAL,Jason Garrett,Scott Linehan,Scott Linehan,DAL,DET,false,true,2010,2014
2017,DEN,Vance Joseph,Mike McCoy,Mike McCoy,MIA,LAC,false,true,2017,2017
2017,DET,Jim Caldwell,Jim Bob Cooter,Jim Bob Cooter,BAL,DET,false,true,2014,2015
2017,GB,Mike McCarthy,Edgar Bennett,Mike McCarthy,SF,GB,true,false,2006,2015
2017,HOU,Bill O'Brien,NONE,Bill O'Brien,Penn State,,true,false,2014,
2017,IND,Chuck Pagano,Rob Chudzinski,Rob Chudzinski,BAL,IND,false,true,2012,2016
2017,JAX,Doug Marrone,Nathaniel Hackett,Nathaniel Hackett,JAX,JAX,false,true,2017,2016
2017,KC,Andy Reid,Matt Nagy,Andy Reid,PHI,KC,true,false,2013,2016
2017,LAC,Anthony Lynn,Ken Whisenhunt,Ken Whisenhunt,BUF,TEN,false,true,2017,2016
2017,LAR,Sean McVay,Matt LaFleur,Sean McVay,WAS,ATL,true,false,2017,2017
2017,LV,Jack Del Rio,Todd Downing,Todd Downing,DEN,LV,false,true,2015,2017
2017,MIA,Adam Gase,Clyde Christensen,Adam Gase,CHI,IND,true,false,2016,2016
2017,MIN,Mike Zimmer,Pat Shurmur,Pat Shurmur,CIN,MIN,false,true,2014,2016
2017,NE,Bill Belichick,Josh McDaniels,Josh McDaniels,NYJ,LAR,false,true,2000,2012
2017,NO,Sean Payton,Pete Carmichael Jr.,Sean Payton,DAL,NO,true,false,2006,2009
2017,NYG,Ben McAdoo,Mike Sullivan,Ben McAdoo,NYG,NYG,true,false,2016,2016
2017,NYJ,Todd Bowles,John Morton,John Morton,ARI,NO,false,true,2015,2017
2017,PHI,Doug Pederson,Frank Reich,Doug Pederson,KC,LAC,true,false,2016,2016
2017,PIT,Mike Tomlin,Todd Haley,Todd Haley,MIN,KC,false,true,2007,2012
2017,SEA,Pete Carroll,Darrell Bevell,Darrell Bevell,USC,MIN,false,true,2010,2011
2017,SF,Kyle Shanahan,NONE,Kyle Shanahan,ATL,,true,false,2017,
2017,TB,Dirk Koetter,Todd Monken,Dirk Koetter,TB,Southern Miss,true,false,2016,2016
2017,TEN,Mike Mularkey,Terry Robiskie,Terry Robiskie,TEN,ATL,false,true,2016,2016
2017,WAS,Jay Gruden,Matt Cavanaugh,Jay Gruden,CIN,WAS,true,false,2014,2017
2018,ARI,Steve Wilks,Mike McCoy,Mike McCoy,CAR,DEN,false,true,2018,2018
2018,ATL,Dan Quinn,Steve Sarkisian,Steve Sarkisian,SEA,Alabama,false,true,2015,2017
2018,BAL,John Harbaugh,Marty Mornhinweg,Marty Mornhinweg,PHI,BAL,false,true,2008,2016
