rank,team,record,pf,pa,overall,offense,pass,pass_block,receiving,run,run_block,defense,run_defense,tackling,pass_rush,coverage,special_teams
1,Arizona Cardinals,3-14,355,488,67.2,70.5,70.8,60.7,74.2,75.6,55.3,50.7,46.2,28.6,62.1,44.2,80.0
2,Atlanta Falcons,8-9,353,401,78.3,75.6,67.4,68.2,74.1,84.8,71.0,65.7,60.8,59.0,72.1,57.7,57.1
3,Baltimore Ravens,8-9,424,398,80.5,75.7,68.7,62.8,73.8,84.8,71.9,70.1,73.0,66.9,62.0,70.3,75.4
4,Buffalo Bills,13-6,538,422,86.1,83.3,85.0,72.4,74.9,90.3,75.2,60.8,50.9,29.3,76.4,55.2,87.9
5,Carolina Panthers,8-10,342,414,73.5,72.5,67.7,67.8,66.7,76.7,75.7,60.4,59.1,51.0,60.4,59.3,78.6
6,Chicago Bears,12-7,489,462,83.3,79.8,72.6,73.1,75.2,90.2,75.3,61.6,60.2,63.6,65.5,56.9,87.7
7,Cincinnati Bengals,6-11,414,492,76.3,76.2,79.5,61.1,80.2,77.1,55.8,52.6,45.3,29.5,62.9,48.9,90.6
8,Cleveland Browns,5-12,279,379,72.3,55.6,46.2,49.7,60.9,69.5,55.4,84.4,81.3,62.9,89.0,71.8,90.8
9,Dallas Cowboys,7-9-1,471,511,79.0,79.5,83.9,53.7,81.7,76.2,71.4,52.7,52.9,39.2,74.0,30.9,76.1
10,Denver Broncos,15-4,441,351,88.3,75.1,73.9,78.8,67.5,77.9,72.0,80.1,79.3,58.8,76.8,77.4,76.5
11,Detroit Lions,9-8,481,413,93.3,82.8,77.0,63.0,89.1,79.2,69.6,81.8,78.5,74.9,82.3,74.1,90.5
12,Green Bay Packers,9-8-1,418,391,85.1,79.8,88.8,63.8,80.8,82.8,59.2,69.3,59.3,81.3,76.4,69.9,79.2
13,Houston Texans,13-6,450,329,89.8,72.4,64.2,63.4,77.0,79.3,61.3,86.0,73.1,47.9,90.1,85.1,86.6
14,Indianapolis Colts,8-9,466,412,80.8,80.0,65.1,74.6,79.9,83.8,75.9,57.3,61.1,59.4,68.0,39.2,86.8
15,Jacksonville Jaguars,13-5,498,363,87.5,76.7,80.7,71.6,74.6,75.9,66.3,75.5,71.6,71.3,67.7,80.7,77.3
16,Kansas City Chiefs,6-11,362,328,83.1,71.4,65.5,71.4,72.0,77.3,62.2,78.2,75.7,67.9,70.3,81.2,88.5
17,Las Vegas Raiders,3-14,241,432,58.7,64.5,57.1,57.0,71.5,68.1,53.0,49.1,49.3,30.4,65.5,33.6,58.3
18,Los Angeles Chargers,11-7,371,356,74.4,65.2,67.4,50.6,72.3,90.0,37.7,73.3,70.4,37.1,67.9,76.7,70.3
19,Los Angeles Rams,14-6,599,425,96.0,93.0,91.7,64.6,91.1,88.7,87.6,86.5,81.1,47.3,83.7,84.8,76.7
20,Miami Dolphins,7-10,347,424,70.5,69.4,59.1,54.9,77.2,85.2,55.5,58.9,65.5,40.4,57.1,49.7,70.9
21,Minnesota Vikings,9-8,344,333,78.0,68.3,47.6,69.0,71.5,83.1,67.7,68.4,68.5,41.5,73.9,56.9,91.1
22,New England Patriots,17-4,557,375,91.6,80.3,75.7,71.8,84.6,79.7,61.9,76.8,61.8,65.8,71.2,90.0,83.5
23,New Orleans Saints,6-11,306,383,74.3,67.8,71.5,64.9,72.4,68.7,49.8,71.0,69.4,39.9,66.6,73.0,73.1
24,New York Giants,4-13,381,439,69.6,68.8,65.8,71.1,65.5,83.8,61.3,59.7,44.2,50.5,74.9,57.5,80.6
25,New York Jets,3-14,300,503,67.0,62.6,51.3,68.3,60.3,79.6,59.7,56.9,65.9,40.3,64.4,32.2,90.6
26,Philadelphia Eagles,11-7,398,348,86.6,77.7,75.8,74.1,73.7,81.2,70.0,74.7,70.0,41.2,79.1,65.5,81.0
27,Pittsburgh Steelers,10-8,403,417,78.3,69.5,66.7,74.5,64.9,76.7,62.9,70.7,67.0,48.0,84.5,54.5,84.2
28,San Francisco 49ers,13-6,466,431,79.4,83.1,82.8,67.0,80.9,71.8,83.0,49.1,39.8,47.6,62.9,46.1,90.5
29,Seattle Seahawks,17-3,584,338,94.4,85.7,78.9,64.2,89.2,91.3,70.1,84.5,82.1,48.8,76.8,87.3,88.4
30,Tampa Bay Buccaneers,8-9,380,411,73.3,69.8,63.7,69.3,68.7,85.3,57.1,63.9,59.0,49.4,76.9,50.9,60.6
31,Tennessee Titans,3-14,284,478,69.2,64.6,54.2,69.2,67.3,73.8,57.5,63.6,72.9,61.5,70.8,45.3,75.0
32,Washington Commanders,5-12,356,451,69.1,71.9,72.9,71.6,71.8,77.7,57.3,53.8,57.9,48.2,68.1,33.1,87.8
