rank,team,record,pf,pa,overall,offense,pass,pass_block,receiving,run,run_block,defense,run_defense,tackling,pass_rush,coverage,special_teams
1,Arizona Cardinals,8-9,400,379,84.9,81.0,77.9,75.8,78.3,90.2,66.6,64.8,64.5,43.9,59.0,66.1,81.5
2,Atlanta Falcons,8-9,389,423,92.0,88.3,77.7,72.8,82.1,93.2,82.8,68.0,66.6,33.3,59.0,75.7,75.4
3,Baltimore Ravens,13-6,571,402,93.5,91.6,93.3,73.2,88.2,94.5,65.0,75.4,75.1,64.5,71.0,76.4,62.3
4,Buffalo Bills,15-5,612,432,81.8,81.0,81.4,73.7,74.7,92.8,66.9,59.7,58.8,50.3,74.9,37.7,79.8
5,Carolina Panthers,5-12,341,534,62.4,72.2,74.2,69.4,63.2,81.8,73.1,44.6,37.4,43.3,51.9,50.1,63.4
6,Chicago Bears,5-12,310,370,76.7,69.1,62.9,72.8,67.8,73.9,65.9,70.8,64.4,67.3,69.0,74.4,77.4
7,Cincinnati Bengals,9-8,472,434,83.7,78.6,92.9,56.2,80.3,72.4,50.7,66.1,66.1,43.2,64.2,61.3,90.9
8,Cleveland Browns,3-14,258,435,70.5,62.1,59.8,59.5,65.3,74.8,50.2,74.5,81.3,28.5,81.0,49.5,89.9
9,Dallas Cowboys,7-10,350,468,72.7,66.5,64.1,62.1,69.4,60.7,63.7,62.9,48.0,43.9,79.1,62.1,78.5
10,Denver Broncos,10-8,432,342,84.8,74.2,74.7,83.5,67.7,71.9,67.5,74.1,67.6,61.3,76.7,73.6,87.5
11,Detroit Lions,15-3,595,387,93.8,88.5,77.0,69.3,89.1,91.1,80.4,76.8,71.6,70.4,73.3,79.7,87.7
12,Green Bay Packers,11-7,470,360,83.7,78.9,74.1,79.6,75.2,92.1,60.9,70.5,59.6,68.5,68.3,83.9,58.5
13,Houston Texans,11-8,418,407,86.0,75.9,77.1,65.3,78.7,85.5,57.4,74.9,68.5,41.2,73.7,79.0,77.5
14,Indianapolis Colts,8-9,377,427,83.3,74.2,65.1,72.5,73.8,65.4,76.7,74.3,75.8,42.7,67.9,71.0,76.0
15,Jacksonville Jaguars,4-13,320,435,74.7,70.4,69.8,66.7,71.0,77.0,57.2,63.1,64.1,59.4,65.1,55.4,89.0
16,Kansas City Chiefs,17-3,462,409,90.3,77.8,76.0,68.6,75.3,82.0,71.9,79.4,73.4,75.9,75.7,82.1,90.0
17,Las Vegas Raiders,4-13,309,434,69.3,69.4,57.9,69.9,75.8,56.5,63.5,57.0,69.9,40.2,64.1,31.3,69.5
18,Los Angeles Chargers,11-7,414,333,89.9,77.5,90.3,71.7,73.7,69.6,61.6,78.5,73.3,49.4,71.1,87.8,78.8
19,Los Angeles Rams,11-8,416,423,86.2,79.9,74.0,53.7,84.8,75.3,76.6,69.7,67.8,46.3,76.6,60.7,75.6
20,Miami Dolphins,8-9,345,364,74.9,69.4,65.5,66.1,72.7,80.5,56.0,67.8,73.7,28.5,67.7,55.6,58.7
21,Minnesota Vikings,14-4,441,359,85.2,78.8,77.7,67.9,82.1,80.1,65.2,70.6,75.3,63.3,65.3,64.2,85.9
22,New England Patriots,4-13,289,417,68.3,63.1,68.2,52.2,66.8,80.3,45.6,64.4,58.2,75.4,62.1,68.8,90.5
23,New Orleans Saints,5-12,338,398,70.3,71.0,68.9,51.6,70.2,84.7,67.8,57.5,48.0,38.4,65.6,56.5,70.3
24,New York Giants,3-14,273,415,68.7,64.4,58.5,57.6,67.1,75.0,59.7,66.9,64.2,48.9,76.3,52.9,75.6
25,New York Jets,5-12,338,404,76.1,74.5,77.2,68.9,71.1,78.4,67.4,64.0,58.6,42.5,66.5,69.8,76.4
26,Philadelphia Eagles,18-3,608,380,94.3,82.2,71.5,73.6,79.1,90.2,76.9,91.2,76.9,40.1,90.0,93.8,78.0
27,Pittsburgh Steelers,10-8,394,375,87.0,74.8,75.9,61.6,73.5,80.9,68.7,77.7,71.1,65.3,90.5,57.4,83.8
28,San Francisco 49ers,6-11,389,436,86.2,82.3,73.1,72.0,81.4,82.0,80.0,68.3,54.6,48.8,68.5,82.9,84.7
29,Seattle Seahawks,10-7,375,368,85.5,76.8,79.7,60.1,79.0,90.4,58.6,69.8,65.5,63.9,70.3,70.3,88.4
30,Tampa Bay Buccaneers,10-8,522,408,87.3,82.6,83.6,83.3,79.1,90.3,64.7,66.8,67.8,42.5,67.5,62.4,77.4
31,Tennessee Titans,3-14,311,460,67.0,62.4,57.0,60.1,70.8,72.7,46.6,67.5,72.6,56.6,62.1,61.3,69.8
32,Washington Commanders,14-6,576,497,76.6,78.2,88.3,62.0,76.4,90.5,55.5,54.5,49.6,48.9,69.1,44.9,80.4
