Rank,PLAYER,9/8/20 ADP,Rank,Advance Rate,,21.3% was average advance Rate for 2020 players,,,,,,
1,Christian McCaffrey,1,RB 1,5%,ROUND 1,,,,,Best Advance RDs,,
2,Saquon Barkley,2.2,RB 2,2%,,Total Adv Rate for RD1,255%,,,,,
3,Ezekiel Elliott,3,RB 3,10%,,AVG Player RD1,0.21,,,RD7,288%,0.24
4,Alvin Kamara,4.7,RB 4,40%,,,,,,RD18,284%,0.24
5,Derrick Henry,5.9,RB 5,36%,,Top 3,,,,RD6,272%,0.23
6,Clyde Edwards-Helaire,5.9,RB 6,16%,,Cook,52%,,,RD13,268%,0.22
7,Dalvin Cook,6.3,RB 7,52%,,Adams,41%,,,RD2,263%,0.22
8,Michael Thomas,8.3,WR 1,4%,,Kamara,40%,,,RD10,263%,0.22
9,Miles Sanders,9.8,RB 8,12%,,Henry,36%,,,,,
10,Joe Mixon,10.3,RB 9,13%,,,,,,,,
11,Josh Jacobs,11.2,RB 10,24%,,,,,,,,
12,Davante Adams,12.7,WR 2,41%,,,,,,,,
13,Kenyan Drake,13.1,RB 11,20%,ROUND 2,,,,,,,
14,Nick Chubb,14.8,RB 12,22%,,Total Adv Rate for RD2,263%,,,,,
15,Tyreek Hill,15.6,WR 3,41%,,AVG Player RD1,0.22,,,,,
16,Austin Ekeler,16.1,RB 13,15%,,,,,,,,
17,Julio Jones,16.5,WR 4,18%,,Top 3,,,,,,
18,Travis Kelce,17.4,TE 1,38%,,Hill,41%,,,,,
19,Aaron Jones,18,RB 14,36%,,Kelce,38%,,,,,
20,George Kittle,20.1,TE 2,16%,,Jones,36%,,,,,
21,Chris Godwin,22.9,WR 5,11%,,,,,,,,
22,DeAndre Hopkins,23.1,WR 6,20%,,,,,,,,
23,James Conner,23.7,RB 15,19%,,,,,,,,
24,Lamar Jackson,24.5,QB 1,7%,,,,,,,,
25,Kenny Golladay,25.8,WR 7,7%,ROUND 3,,,,,,,
26,Patrick Mahomes,27.3,QB 2,22%,,Total Adv Rate for RD3,254%,,,,,
27,Chris Carson,27.8,RB 16,22%,,AVG Player RD1,0.21,,,,,
28,Jonathan Taylor,28.3,RB 17,19%,,,,,,,,
29,D.J. Moore,29.1,WR 8,20%,,Top 4,,,,,,
30,Amari Cooper,29.3,WR 9,18%,,Thielen,35%,,,,,
31,Mike Evans,31.3,WR 10,24%,,Gurley,27%,,,,,
32,JuJu Smith-Schuster,32.8,WR 11,20%,,Robinson,25%,,,,,
33,Allen Robinson,33.4,WR 12,25%,,Evans,24%,,,,,
34,Odell Beckham,35.2,WR 13,15%,,,,,,,,
35,Adam Thielen,35.4,WR 14,35%,,,,,,,,
36,Todd Gurley,36.4,RB 18,27%,,,,,,,,
37,Calvin Ridley,37.6,WR 15,28%,ROUND 4,,,,,,,
38,A.J. Brown,39.4,WR 16,30%,,Total Adv Rate for RD4,252%,,,,,
39,David Johnson,41,RB 19,19%,,AVG Player RD1,0.21,,,,,
40,Robert Woods,41.5,WR 17,26%,,,,,,,,
41,Melvin Gordon,41.6,RB 20,22%,,Top 4,,,,,,
42,Mark Andrews,42.7,TE 3,15%,,AJ Brown,30%,,,,,
43,Terry McLaurin,43.6,WR 18,22%,,Lockett,30%,,,,,
44,Cooper Kupp,44.8,WR 19,20%,,Ridley,28%,,,,,
45,D.J. Chark,45.7,WR 20,12%,,Woods,26%,,,,,
46,Tyler Lockett,45.7,WR 21,30%,,,,,,,,
47,Le'Veon Bell,45.9,RB 21,13%,,,,,,,,
48,Leonard Fournette,46.9,RB 22,15%,,,,,,,,
49,DK Metcalf,48.7,WR 22,30%,ROUND 5,,,,,,,
50,Cam Akers,52.4,RB 23,16%,,Total Adv Rate for RD5,238%,,,,,
51,Marquise Brown,53,WR 23,13%,,AVG Player RD1,0.20,,,,,
52,Zach Ertz,53.1,TE 4,10%,,,,,,,,
53,Courtland Sutton,53.7,WR 24,11%,,Top 4,,,,,,
54,D'Andre Swift,54.2,RB 24,24%,,Fuller,33%,,,,,
55,Mark Ingram,54.3,RB 25,15%,,Metcalf,30%,,,,,
56,Will Fuller,56.1,WR 25,33%,,K.Hunt,28%,,,,,
