"Player","Team","Pos","Rank","ADP","Diff","2023 Finish","2022 Finish","Id"
"Christian McCaffrey","49ers","RB","1","1.2","0.17","1","3","9e801ec6-ed8e-49b1-8b66-90553d7dd7e2"
"CeeDee Lamb","Cowboys","WR","2","2.3","0.13","4","19","098d87b9-1fc9-4466-a7dd-7f35f697f506"
"Breece Hall","Jets","RB","3","6.4","0.53","18","17","3f671138-3ef9-437b-af4b-f865c1423161"
"Justin Jefferson","Vikings","WR","4","6.3","0.37","9","6","8209c653-34c2-4bc5-8434-d5a6d2c8b27b"
"Tyreek Hill","Dolphins","WR","5","2.9","-0.72","3","8","a36d312f-0f65-4e3a-98ef-823608309b21"
"Bijan Robinson","Falcons","RB","6","7.1","0.15","39","","7f4475be-2cd2-4e94-9272-9d6e1c6a6262"
"A.J. Brown","Eagles","WR","7","9","0.22","13","18","2bad3d34-9960-4d9a-8fa7-6abc8d2ba1f7"
"Amon-Ra St. Brown","Lions","WR","8","5.6","-0.43","8","23","7b36b9f5-93c3-4fb7-8703-f89aa740c452"
"Ja'Marr Chase","Bengals","WR","9","4.9","-0.84","21","9","5a9b6074-7296-4571-94f8-6b9e803ba039"
"Garrett Wilson","Jets","WR","10","10","0","91","55","c76953d5-dc07-49f6-85e2-731b919c09a0"
"Jahmyr Gibbs","Lions","RB","11","13.8","0.2","17","","f098bc7a-7b26-4b95-8a2a-5603e0c79eab"
"Puka Nacua","Rams","WR","12","11.7","-0.03","14","","fb1781a7-ebfc-47c4-a925-18ad114c9834"
"Jaylen Waddle","Dolphins","WR","13","19.5","0.33","68","26","0eca149b-3acb-4540-90b9-e573a3983e73"
"Cooper Kupp","Rams","WR","14","21.8","0.36","46","1","07d3867e-0154-4152-a798-18d6c7accd42"
"Jonathan Taylor","Colts","RB","15","14.8","-0.01","34","32","b4792419-5e76-45de-864a-741ac6df7651"
"Kyren Williams","Rams","RB","16","24.9","0.36","2","350","2ea6b394-3237-4644-8b49-69cf67b6e8a9"
"De'Von Achane","Dolphins","RB","17","19.8","0.14","5","","47a7e2a4-2f23-4670-ac09-1c20b7e4bb39"
"Josh Jacobs","Packers","RB","18","49.2","0.63","40","5","993baded-bd48-4787-b0ad-ac2996be73a4"
"Saquon Barkley","Eagles","RB","19","18.1","-0.05","26","10","5b733acd-4a48-40f0-9662-51e4540b0351"
"Nico Collins","Texans","WR","20","17.4","-0.15","20","206","0ca934b7-a6df-4df8-9f7b-f34f1f51d396"
"Brandon Aiyuk","49ers","WR","21","26.2","0.2","28","82","c3032705-9198-4d1b-ba45-3d5eb7983645"
