Player,ADP,Rank,August 15 ADP,Rank,Diff
Christian McCaffrey,1,RB 1,1.1,RB 1,0
Saquon Barkley,2.2,RB 2,2.1,RB 2,-0.1
Ezekiel Elliott,3,RB 3,3.1,RB 3,0.1
Alvin Kamara,4.7,RB 4,4.2,RB 4,-0.5
Derrick Henry,5.9,RB 5,6.7,RB 6,0.8
Clyde Edwards-Helaire,5.9,RB 6,9.1,RB 8,3.2
Dalvin Cook,6.3,RB 7,5.9,RB 5,-0.5
Michael Thomas,8.3,WR 1,7.6,WR 1,-0.8
Miles Sanders,9.8,RB 8,9,RB 7,-0.8
Joe Mixon,10.3,RB 9,10.1,RB 9,-0.2
Josh Jacobs,11.2,RB 10,13.1,RB 11,1.9
Davante Adams,12.7,WR 2,12.2,WR 2,-0.6
Kenyan Drake,13.1,RB 11,11.9,RB 10,-1.2
Nick Chubb,14.8,RB 12,13.9,RB 12,-0.9
Tyreek Hill,15.6,WR 3,13.9,WR 3,-1.8
Austin Ekeler,16.1,RB 13,18,RB 13,1.9
Julio Jones,16.5,WR 4,16.8,WR 4,0.3
Travis Kelce,17.4,TE 1,16.9,TE 1,-0.5
Aaron Jones,18,RB 14,18.3,RB 14,0.3
George Kittle,20.1,TE 2,19.7,TE 2,-0.3
Chris Godwin,22.9,WR 5,22.1,WR 6,-0.8
DeAndre Hopkins,23.1,WR 6,21.2,WR 5,-1.9
James Conner,23.7,RB 15,28.4,RB 15,4.7
Lamar Jackson,24.5,QB 1,25.3,QB 1,0.8
Kenny Golladay,25.8,WR 7,25,WR 7,-0.8
Patrick Mahomes,27.3,QB 2,28.2,QB 2,1
Chris Carson,27.8,RB 16,32.7,RB 17,4.9
Jonathan Taylor,28.3,RB 17,35.4,RB 19,7.1
D.J. Moore,29.1,WR 8,31.6,WR 11,2.5
Amari Cooper,29.3,WR 9,27.7,WR 8,-1.6
Mike Evans,31.3,WR 10,30.2,WR 9,-1
JuJu Smith-Schuster,32.8,WR 11,30.8,WR 10,-2
Allen Robinson,33.4,WR 12,32.5,WR 12,-0.9
Odell Beckham,35.2,WR 13,33.3,WR 13,-1.9
Adam Thielen,35.4,WR 14,36.6,WR 14,1.2
Todd Gurley,36.4,RB 18,29.9,RB 16,-6.4
Calvin Ridley,37.6,WR 15,38.5,WR 15,0.9
A.J. Brown,39.4,WR 16,38.6,WR 16,-0.8
David Johnson,41,RB 19,41,RB 21,0
Robert Woods,41.5,WR 17,43.1,WR 17,1.6
Melvin Gordon,41.6,RB 20,34.5,RB 18,-7.1
Mark Andrews,42.7,TE 3,43.8,TE 3,1.1
Terry McLaurin,43.6,WR 18,45.9,WR 19,2.3
Cooper Kupp,44.8,WR 19,45.5,WR 18,0.7
D.J. Chark,45.7,WR 20,48.5,WR 21,2.8
Tyler Lockett,45.7,WR 21,46.6,WR 20,1
Le'Veon Bell,45.9,RB 21,42.6,RB 22,-3.3
Leonard Fournette,46.9,RB 22,35.9,RB 20,-11
DK Metcalf,48.7,WR 22,49.8,WR 22,1.1
Cam Akers,52.4,RB 23,59.1,RB 28,6.8
Marquise Brown,53,WR 23,60.4,WR 27,7.5
Zach Ertz,53.1,TE 4,52.9,TE 4,-0.1
Courtland Sutton,53.7,WR 24,54.8,WR 23,1
D'Andre Swift,54.2,RB 24,53.4,RB 25,-0.7
Mark Ingram,54.3,RB 25,53,RB 24,-1.2
Will Fuller,56.1,WR 25,59.9,WR 26,3.8
Kareem Hunt,56.3,RB 26,58.4,RB 27,2.1
Michael Gallup,60.2,WR 26,65.8,WR 30,5.6
DeVante Parker,60.4,WR 27,58.3,WR 24,-2.1
Raheem Mostert,60.4,RB 27,56.9,RB 26,-3.5
T.Y. Hilton,61.1,WR 28,58.4,WR 25,-2.7
Keenan Allen,61.5,WR 29,61.1,WR 28,-0.4
Dak Prescott,63.5,QB 3,63.2,QB 3,-0.3
David Montgomery,64.1,RB 28,49.8,RB 23,-14.2
Stefon Diggs,64.6,WR 30,62.7,WR 29,-1.9
J.K. Dobbins,65,RB 29,68.7,RB 31,3.7
Ronald Jones,67.6,RB 30,67.4,RB 30,-0.3
Tyler Boyd,69.5,WR 31,73.9,WR 33,4.4
Devin Singletary,70,RB 31,63.6,RB 29,-6.4
Jarvis Landry,71,WR 32,72.6,WR 32,1.6
A.J. Green,71.6,WR 33,66.6,WR 31,-5
Kyler Murray,72.1,QB 4,69.8,QB 4,-2.2
Darren Waller,72.8,TE 5,71.2,TE 5,-1.6
Marvin Jones,74.2,WR 34,75.1,WR 34,0.9
Brandin Cooks,75.2,WR 35,77.2,WR 35,2
Russell Wilson,75.6,QB 5,73.8,QB 5,-1.7
Antonio Gibson,76.6,RB 32,111.1,RB 44,34.5
Deshaun Watson,77.5,QB 6,75.7,QB 6,-1.8
Diontae Johnson,79.7,WR 36,80.6,WR 37,0.9
Julian Edelman,80.6,WR 37,79.6,WR 36,-1
Christian Kirk,81.1,WR 38,82.9,WR 38,1.8
James White,82.1,RB 33,93.9,RB 35,11.8
Zack Moss,83,RB 34,104.4,RB 38,21.4
Evan Engram,84.9,TE 6,81,TE 6,-3.9
Mecole Hardman,85.2,WR 39,87.9,WR 39,2.7
Jamison Crowder,90.2,WR 40,96.6,WR 43,6.4
Tevin Coleman,90.5,RB 35,84.9,RB 32,-5.6
CeeDee Lamb,91,WR 41,100.9,WR 45,9.9
Henry Ruggs,91.7,WR 42,94.1,WR 40,2.4
Jordan Howard,93.3,RB 36,88.1,RB 33,-5.2
Josh Allen,94.5,QB 7,87.7,QB 7,-6.7
DeSean Jackson,95.3,WR 43,119.2,WR 50,23.9
Matt Ryan,95.8,QB 8,93.8,QB 8,-2
Deebo Samuel,95.9,WR 44,98,WR 44,2.1
Jalen Reagor,96.5,WR 45,96,WR 42,-0.5
Marlon Mack,96.8,RB 37,91.7,RB 34,-5.1
Hayden Hurst,97.3,TE 7,108.5,TE 9,11.3
Phillip Lindsay,99.3,RB 38,109.6,RB 43,10.3
Darius Slayton,99.6,WR 46,94.3,WR 41,-5.2
Latavius Murray,100.4,RB 39,104.5,RB 39,4.1
Matt Breida,100.5,RB 40,99.3,RB 36,-1.2
Tarik Cohen,102.4,RB 41,116.3,RB 47,13.9
Chase Edmonds,104.2,RB 42,128.3,RB 50,24.1
Tyler Higbee,105,TE 8,93.4,TE 7,-11.6
Kerryon Johnson,105.1,RB 43,99.9,RB 37,-5.2
Sterling Shepard,105.6,WR 47,112,WR 48,6.4
Carson Wentz,106.8,QB 9,100.6,QB 9,-6.2
John Brown,108.1,WR 48,103.2,WR 46,-5
Tony Pollard,109.3,RB 44,108.4,RB 42,-0.9
Matthew Stafford,110.1,QB 10,112.1,QB 10,2
Alexander Mattison,111.2,RB 45,112.9,RB 45,1.7
Emmanuel Sanders,115.4,WR 49,114.1,WR 49,-1.4
Mike Gesicki,115.8,TE 9,120.3,TE 12,4.5
Brandon Aiyuk,116.2,WR 50,126.3,WR 54,10.1
Damien Harris,116.5,RB 46,146.2,RB 52,29.7
Anthony Miller,118.3,WR 51,121.2,WR 51,2.9
Jerry Jeudy,118.8,WR 52,126,WR 53,7.1
Rob Gronkowski,119.3,TE 10,107.6,TE 8,-11.7
Drew Brees,119.5,QB 11,115.2,QB 11,-4.3
Tom Brady,119.8,QB 12,117.4,QB 12,-2.4
Curtis Samuel,120.6,WR 53,122.8,WR 52,2.2
T.J. Hockenson,120.8,TE 11,125.8,TE 13,5
Jared Cook,122.8,TE 12,113,TE 11,-9.8
Preston Williams,123.7,WR 54,136,WR 57,12.3
Boston Scott,124.8,RB 47,132,RB 51,7.2
Cam Newton,126.3,QB 13,129.9,QB 13,3.6
Hunter Henry,126.4,TE 13,109.2,TE 10,-17.2
Duke Johnson,128.6,RB 48,127.7,RB 49,-0.9
Golden Tate,129,WR 55,133.4,WR 56,4.4
Noah Fant,130.4,TE 14,126.9,TE 14,-3.5
Sammy Watkins,130.8,WR 56,128.5,WR 55,-2.3
Mike Williams,135,WR 57,108.1,WR 47,-27
Allen Lazard,135.1,WR 58,143.8,WR 59,8.7
Aaron Rodgers,136.3,QB 14,130.9,QB 14,-5.4
Daniel Jones,137.3,QB 15,133.9,QB 15,-3.4
Jonnu Smith,137.3,TE 15,137.9,TE 16,0.6
Blake Jarwin,139.5,TE 16,145,TE 18,5.5
Austin Hooper,140.9,TE 17,131.6,TE 15,-9.3
Christopher Herndon,141.1,TE 18,158.9,TE 21,17.8
Darrell Henderson,142.9,RB 49,120.1,RB 48,-22.8
Ben Roethlisberger,143.1,QB 16,142.1,QB 16,-1
Sony Michel,143.5,RB 50,105.7,RB 40,-37.8
Parris Campbell,145.1,WR 59,157.2,WR 64,12.2
N'Keal Harry,146.6,WR 60,137.4,WR 58,-9.2
Jared Goff,147.3,QB 17,149.6,QB 18,2.3
A.J. Dillon,148.9,RB 51,155.7,RB 54,6.7
Laviska Shenault,149.2,WR 61,172.4,WR 66,23.2
Jerick McKinnon,149.4,RB 52,175.6,RB 57,26.2
Dallas Goedert,149.4,TE 19,139.2,TE 17,-10.2
Justin Jefferson,150.4,WR 62,145.7,WR 61,-4.7
Breshad Perriman,151.5,WR 63,153.4,WR 63,1.9
Robby Anderson,151.5,WR 64,145.1,WR 60,-6.4
Joe Burrow,151.9,QB 18,152.2,QB 19,0.3
Baker Mayfield,154.2,QB 19,146.5,QB 17,-7.7
Chris Thompson,156.5,RB 53,198.9,RB 65,42.5
Michael Pittman,156.8,WR 65,152.3,WR 62,-4.5
Ke'Shawn Vaughn,159.7,RB 54,108.3,RB 41,-51.4
Jimmy Garoppolo,161.8,QB 20,157.8,QB 20,-4
Eric Ebron,162.3,TE 20,157.9,TE 20,-4.4
Bryan Edwards,162.5,WR 66,206.4,WR 84,43.9
Ian Thomas,162.8,TE 21,154.7,TE 19,-8.1
Randall Cobb,163.8,WR 67,176.4,WR 69,12.6
Gardner Minshew,163.8,QB 21,167.8,QB 23,3.9
Teddy Bridgewater,165.2,QB 22,162.2,QB 22,-3
Adrian Peterson,166.6,RB 55,177,RB 58,10.5
DeAndre Washington,167.2,RB 56,150,RB 53,-17.2
Ryan Tannehill,167.4,QB 23,160.6,QB 21,-6.9
Irv Smith,169.2,TE 22,169.2,TE 23,0.1
James Washington,169.6,WR 68,172.6,WR 67,3
Joshua Kelley,170,RB 57,179.8,RB 59,9.9
