"Rank","Player","Team","Bye","POS","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","Underdog","AVG"
"1","Christian McCaffrey","SF","11","RB1","1","","","","1","1","1","1.0"
"2","Saquon Barkley","PHI","9 ","RB2","2","","","","2","2","2.2","2.0"
"3","Ezekiel Elliott","","","RB3","3","","","","3","3","3","3.0"
"4","Dalvin Cook","","","RB4","4","","","","4","6","6.3","5.1"
"5","Michael Thomas","","","WR1","6","","","","6","4","8.3","6.1"
"6","Alvin Kamara","NO","6","RB5","5","","","","5","5","4.7","4.9"
"7","Derrick Henry","BAL","7","RB6","7","","","","7","8","5.9","7.0"
"8","Davante Adams","LAR","9","WR2","14","","","","13","7","12.7","11.7"
"9","Josh Jacobs","GB","5","RB7","9","","","","12","18","11.2","12.6"
"10","Joe Mixon","","","RB8","22","","","","9","10","10.3","12.8"
"11","Clyde Edwards-Helaire","","","RB9","8","","","","8","32","5.9","13.5"
"12","Miles Sanders","","","RB10","12","","","","10","20","9.8","12.9"
"13","Austin Ekeler","","","RB11","21","","","","11","13","16.1","15.3"
"14","Tyreek Hill","","","WR3","13","","","","17","12","15.6","14.4"
"15","Nick Chubb","","","RB12","10","","","","18","16","14.8","14.7"
"16","Kenyan Drake","","","RB13","16","","","","14","17","13.1","15.0"
"17","Julio Jones","","","WR4","15","","","","20","11","16.5","15.6"
"18","DeAndre Hopkins","BAL","7","WR5","19","","","","15","9","23.1","16.5"
"19","Aaron Jones Sr.","MIN","7","RB14","18","","","","16","21","18","18.2"
"20","Travis Kelce","KC","10","TE1","20","","","","19","15","17.4","17.9"
"21","Patrick Mahomes II","KC","10","QB1","11","","","","22","27","27.3","21.8"
"22","Chris Godwin Jr.","TB","13","WR6","24","","","","23","14","22.9","21.0"
"23","Lamar Jackson","BAL","7","QB2","17","","","","21","22","24.5","21.1"
"24","George Kittle","SF","11","TE2","23","","","","25","19","20.1","21.8"
"25","Kenny Golladay","","","WR7","27","","","","27","23","25.8","25.7"
"26","Mike Evans","SF","11","WR8","25","","","","31","24","31.3","27.8"
"27","Chris Carson","","","RB15","31","","","","24","41","27.8","30.9"
"28","DJ Moore","BUF","11","WR9","29","","","","30","29","29.1","29.3"
"29","Todd Gurley","II","","RB16","32","","","","28","33","36.4","32.4"
"30","Allen Robinson","II","","WR10","34","","","","35","25","33.4","31.9"
"31","dell Beckham Jr.","NYG","11 O","WR11","33","","","","34","26","35.2","32.0"
"32","Adam Thielen","","","WR12","26","","","","36","36","35.4","33.4"
"33","JuJu Smith-Schuster","NYG","11","WR13","30","","","","40","28","32.8","32.7"
"34","James Conner","ARI","8","RB17","41","","","","26","49","23.7","34.9"
"35","Amari Cooper","","","WR14","28","","","","43","31","29.3","32.8"
"36","David Johnson","","","RB18","37","","","","29","46","41","38.2"
"37","Le'Veon Bell","","","RB19","46","","","","32","37","45.9","40.2"
"38","Cooper Kupp","SEA","6","WR15","43","","","","33","35","44.8","39.0"
"39","Melvin Gordon","III","","RB20","48","","","","37","39","41.6","41.4"
"40","Zach Ertz","","","TE3","38","","","","45","34","53.1","42.5"
"41","Mark Andrews","BAL","7","TE4","36","","","","46","45","42.7","42.4"
