"Rank","LW","Diff","Pos","Player","Team","ADP"
"1","1","0","RB","Christian McCaffrey","Carolina Panthers","1"
"2","2","0","RB","Dalvin Cook","Minnesota Vikings","2.1"
"3","3","0","RB","Derrick Henry","Tennessee Titans","3.8"
"4","4","0","RB","Alvin Kamara","New Orleans Saints","4.3"
"5","5","0","RB","Ezekiel Elliott","Dallas Cowboys","5.6"
"6","6","0","TE","Travis Kelce","Kansas City Chiefs","6.5"
"7","8","1","WR","Davante Adams","Green Bay Packers","6.8"
"8","7","-1","WR","Tyreek Hill","Kansas City Chiefs","8.1"
"9","9","0","WR","Stefon Diggs","Buffalo Bills","10.1"
"10","12","2","RB","Aaron Jones","Green Bay Packers","10.3"
"11","10","-1","RB","Saquon Barkley","NY Giants","10.9"
"12","11","-1","RB","Austin Ekeler","Los Angeles Chargers","11.8"
"13","13","0","WR","Calvin Ridley","Atlanta Falcons","13.4"
"14","16","2","WR","DeAndre Hopkins","Arizona Cardinals","14.9"
"15","15","0","RB","Nick Chubb","Cleveland Browns","15.3"
"16","17","1","RB","Antonio Gibson","Washington Football Team","15.8"
"17","14","-3","RB","Jonathan Taylor","Indianapolis Colts","16.9"
"18","19","1","WR","DK Metcalf","Seattle Seahawks","18.2"
"19","18","-1","RB","Joe Mixon","Cincinnati Bengals","19.8"
"20","20","0","WR","A.J. Brown","Tennessee Titans","20.1"
"21","21","0","RB","Najee Harris","Pittsburgh Steelers","20.5"
"22","22","0","TE","Darren Waller","Las Vegas Raiders","22.6"
"23","23","0","WR","Justin Jefferson","Minnesota Vikings","22.8"
"24","24","0","RB","Clyde Edwards-Helaire","Kansas City Chiefs","23.5"
"25","26","1","WR","CeeDee Lamb","Dallas Cowboys","24.7"
"26","25","-1","WR","Keenan Allen","Los Angeles Chargers","25.8"
"27","27","0","TE","George Kittle","San Francisco 49ers","27.1"
"28","28","0","WR","Terry McLaurin","Washington Football Team","27.8"
"29","29","0","WR","Allen Robinson","Chicago Bears","29.2"
"30","30","0","WR","Amari Cooper","Dallas Cowboys","31.3"
"31","33","2","WR","Robert Woods","Los Angeles Rams","32.9"
"32","32","0","RB","J.K. Dobbins","Baltimore Ravens","33.9"
"33","31","-2","RB","D'Andre Swift","Detroit Lions","34.1"
"34","34","0","WR","Mike Evans","Tampa Bay Buccaneers","34.6"
"35","35","0","QB","Patrick Mahomes","Kansas City Chiefs","35.4"
"36","36","0","WR","Tyler Lockett","Seattle Seahawks","35.9"
"37","38","1","WR","Cooper Kupp","Los Angeles Rams","37.2"
"38","37","-1","WR","Julio Jones","Tennessee Titans","39.2"
"39","42","3","RB","David Montgomery","Chicago Bears","39.3"
"40","39","-1","RB","Chris Carson","Seattle Seahawks","39.6"
"41","40","-1","WR","Chris Godwin","Tampa Bay Buccaneers","40.4"
"42","41","-1","WR","D.J. Moore","Carolina Panthers","41.1"
"43","49","6","WR","Brandon Aiyuk","San Francisco 49ers","45"
"44","43","-1","WR","Ja'Marr Chase","Cincinnati Bengals","45.4"
"45","44","-1","WR","Tee Higgins","Cincinnati Bengals","46"
"46","51","5","RB","Darrell Henderson","Los Angeles Rams","46.4"
"47","46","-1","TE","Kyle Pitts","Atlanta Falcons","46.7"
"48","47","-1","WR","Adam Thielen","Minnesota Vikings","48"
"49","48","-1","WR","Diontae Johnson","Pittsburgh Steelers","48.9"
"50","50","0","QB","Josh Allen","Buffalo Bills","50.6"
"51","53","2","WR","Chase Claypool","Pittsburgh Steelers","51.7"
"52","45","-7","RB","Miles Sanders","Philadelphia Eagles","52.1"
"53","57","4","RB","Travis Etienne","Jacksonville Jaguars","53.3"
"54","54","0","WR","Odell Beckham","Cleveland Browns","55.2"
"55","52","-3","QB","Lamar Jackson","Baltimore Ravens","55.3"
"56","55","-1","QB","Kyler Murray","Arizona Cardinals","55.8"
"57","60","3","WR","Robby Anderson","Carolina Panthers","57.5"
"58","58","0","RB","Josh Jacobs","Las Vegas Raiders","58.3"
"59","64","5","WR","Jerry Jeudy","Denver Broncos","58.7"
"60","61","1","TE","Mark Andrews","Baltimore Ravens","60.3"
