"Player","Team","Pos","Pos Rank","Rank","ADP","2022 Finish","Rank vs. ADP"
"Justin Jefferson","MIN","WR","1","1","1","6","0"
"Ja'Marr Chase","CIN","WR","2","2","2","9","0"
"Christian McCaffrey","SF","RB","1","3","3","3","0"
"Austin Ekeler","LAC","RB","2","4","6","2","2"
"A.J. Brown","PHI","WR","3","5","10","18","5"
"Davante Adams","LV","WR","4","6","17","7","11"
"Nick Chubb","CLE","RB","3","7","11","15","4"
"Saquon Barkley","NYG","RB","4","8","15","10","7"
"Travis Kelce","KC","TE","1","9","5","13","-4"
"Tony Pollard","DAL","RB","5","10","16","20","6"
"Tyreek Hill","MIA","WR","5","11","4","8","-7"
"Stefon Diggs","BUF","WR","6","12","9","12","-3"
"Bijan Robinson","ATL","RB","6","13","8","","-5"
"Josh Jacobs","LV","RB","7","14","26","5","12"
"Jalen Hurts","PHI","QB","1","15","24","11","9"
"Cooper Kupp","LAR","WR","7","16","7","1","-9"
"Garrett Wilson","NYJ","WR","8","17","14","55","-3"
"Derrick Henry","TEN","RB","8","18","20","4","2"
"Josh Allen","BUF","QB","2","19","27","14","8"
"Calvin Ridley","JAX","WR","9","20","23","","3"
"CeeDee Lamb","DAL","WR","10","21","12","19","-9"
"Amon-Ra St. Brown","DET","WR","11","22","13","23","-9"
"Lamar Jackson","BAL","QB","3","23","31","45","8"
"Patrick Mahomes","KC","QB","4","24","21","16","-3"
"Mark Andrews","BAL","TE","2","25","28","64","3"
"Rhamondre Stevenson","NE","RB","9","26","34","29","8"
"DeVonta Smith","PHI","WR","12","27","22","36","-5"
"Tee Higgins","CIN","WR","13","28","25","37","-3"
"Amari Cooper","CLE","WR","14","29","32","33","3"
"Mike Williams","LAC","WR","15","30","42","49","12"
"Jaylen Waddle","MIA","WR","16","31","18","26","-13"
"DK Metcalf","SEA","WR","17","32","29","38","-3"
"Deebo Samuel","SF","WR","18","33","33","56","0"
"Chris Olave","NO","WR","19","34","19","76","-15"
"Keenan Allen","LAC","WR","20","35","35","31","0"
"Joe Burrow","CIN","QB","5","36","47","35","11"
"Joe Mixon","CIN","RB","10","37","38","21","1"
"Dameon Pierce","HOU","RB","11","38","60","44","22"
"Justin Herbert","LAC","QB","6","39","50","144","11"
"Kenneth Walker","SEA","RB","12","40","51","27","11"
"Travis Etienne","JAX","RB","13","41","37","48","-4"
"Jahmyr Gibbs","DET","RB","14","42","30","","-12"
"Diontae Johnson","PIT","WR","21","43","52","210","9"
"Justin Fields","CHI","QB","7","44","41","41","-3"
"Miles Sanders","CAR","RB","15","45","71","39","26"
"Breece Hall","NYJ","RB","16","46","44","17","-2"
"Alexander Mattison","MIN","RB","17","47","59","222","12"
"David Montgomery","DET","RB","18","48","78","69","30"
"Najee Harris","PIT","RB","19","49","43","53","-6"
"Drake London","ATL","WR","22","50","45","114","-5"
"DeAndre Hopkins","TEN","WR","23","51","46","22","-5"
"T.J. Hockenson","MIN","TE","3","52","53","67","1"
"Jonathan Taylor","IND","RB","20","53","39","32","-14"
"Aaron Jones","GB","RB","21","54","48","28","-6"
"Darren Waller","NYG","TE","4","55","56","120","1"
"Chris Godwin","TB","WR","24","56","61","66","5"
"Gabe Davis","BUF","WR","25","57","69","62","12"
"Christian Watson","GB","WR","26","58","40","47","-18"
"Jordan Addison","MIN","WR","27","59","72","","13"
"Brandon Aiyuk","SF","WR","28","60","49","82","-11"
"Tyler Lockett","SEA","WR","29","62","58","43","-4"
"George Pickens","PIT","WR","30","63","62","108","-1"
"George Kittle","SF","TE","5","63","66","51","3"
"Trevor Lawrence","JAX","QB","8","64","63","92","-1"
"Christian Kirk","JAX","WR","31","65","57","34","-8"
"Jahan Dotson","WAS","WR","32","66","64","71","-2"
"Terry McLaurin","WAS","WR","33","67","54","65","-13"
"Mike Evans","TB","WR","34","68","67","42","-1"
"DJ Moore","CHI","WR","35","69","36","57","-33"
"D'Andre Swift","PHI","RB","22","70","85","50","15"
"J.K. Dobbins","BAL","RB","23","71","65","54","-6"
"Jaxon Smith-Njigba","SEA","WR","36","72","68","","-4"
"Jerry Jeudy","DEN","WR","37","73","55","46","-18"
"Marquise Brown","ARI","WR","38","74","74","78","0"
"Michael Pittman","IND","WR","39","75","77","75","2"
"Brandin Cooks","DAL","WR","40","76","84","129","8"
"Courtland Sutton","DEN","WR","41","77","87","125","10"
"Kyle Pitts","ATL","TE","6","78","79","186","1"
"Deshaun Watson","CLE","QB","9","79","88","217","9"
"Dalvin Cook","NYJ","RB","24","80","93","30","13"
"Isiah Pacheco","KC","RB","25","81","90","116","9"
"James Conner","ARI","RB","26","82","81","25","-1"
"Cam Akers","LAR","RB","27","83","73","63","-10"
"Alvin Kamara","NO","RB","28","84","82","40","-2"
"James Cook","BUF","RB","29","85","70","195","-15"
"Javonte Williams","DEN","RB","30","86","75","119","-11"
"Dallas Goedert","PHI","TE","7","87","80","123","-7"
"David Njoku","CLE","TE","8","88","110","117","22"
"Treylon Burks","TEN","WR","42","89","98","213","9"
"JuJu Smith-Schuster","NE","WR","43","90","115","97","25"
"Rashod Bateman","BAL","WR","44","91","96","103","5"
"Anthony Richardson","IND","QB","10","92","100","","8"
"Daniel Jones","NYG","QB","11","93","107","94","14"
"Geno Smith","SEA","QB","12","94","114","111","20"
"Zach Charbonnet","SEA","RB","31","95","104","","9"
"Brian Robinson","WAS","RB","32","96","101","101","5"
"Rachaad White","TB","RB","33","97","83","143","-14"
"Khalil Herbert","CHI","RB","34","98","92","86","-6"
"Pat Freiermuth","PIT","TE","9","99","105","177","6"
"Dak Prescott","DAL","QB","13","100","106","110","6"
"Kirk Cousins","MIN","QB","14","101","113","98","12"
"Michael Thomas","NO","WR","45","102","95","","-7"
"Odell Beckham","BAL","WR","46","103","109","","6"
"Zay Flowers","BAL","WR","47","104","76","","-28"
"Kadarius Toney","KC","WR","48","105","102","182","-3"
"Raheem Mostert","MIA","RB","35","106","131","84","25"
"Jaylen Warren","PIT","RB","36","107","111","263","4"
"AJ Dillon","GB","RB","37","108","103","96","-5"
"Rashaad Penny","PHI","RB","38","109","120","61","11"
"Antonio Gibson","WAS","RB","39","110","99","102","-11"
"Evan Engram","JAX","TE","10","111","97","93","-14"
"Tyler Higbee","LAR","TE","11","112","136","142","24"
"Van Jefferson","LAR","WR","49","113","143","221","30"
"Elijah Moore","CLE","WR","50","114","91","280","-23"
"Zay Jones","JAX","WR","51","115","122","58","7"
"Tyler Boyd","CIN","WR","52","116","112","131","-4"
"Samaje Perine","DEN","RB","40","117","117","105","0"
"Jamaal Williams","NO","RB","41","118","123","119","5"
"Aaron Rodgers","NYJ","QB","15","119","121","193","2"
"Tua Tagovailoa","MIA","QB","16","120","94","74","-26"
"Dalton Kincaid","BUF","TE","12","121","116","","-5"
"Nico Collins","HOU","WR","53","122","119","206","-3"
"Allen Lazard","NYJ","WR","54","123","125","106","2"
"Luke Musgrave","GB","TE","13","124","162","","38"
"Jake Ferguson","DAL","TE","14","125","160","297","35"
"Juwan Johnson","NO","TE","15","126","153","126","27"
"Romeo Doubs","GB","WR","55","127","108","162","-19"
"Quentin Johnston","LAC","WR","56","128","86","","-42"
"Damien Harris","BUF","RB","42","129","137","145","8"
"Elijah Mitchell","SF","RB","43","130","130","149","0"
"Tyler Allgeier","ATL","RB","44","131","139","89","8"
