"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","DraftKings","AVG"
"1","Christian McCaffrey","SF","6 ","RB1","1","1","","","","1.0"
"2","Dalvin Cook","","","RB2","2","2","","","","2.0"
"3","Alvin Kamara","NO","6","RB3","3","3","","","","3.0"
"4","Derrick Henry","BAL","8","RB4","4","4","","","","4.0"
"5","Ezekiel Elliott","","","RB5","5","5","","","","5.0"
"6","Travis Kelce","KC","12","TE1","6","7","","","","6.5"
"7","Davante Adams","LAR","11","WR1","7","6","","","","6.5"
"8","Jonathan Taylor","IND","14","RB6","9","8","","","","8.5"
"9","Tyreek Hill","","","WR2","10","10","","","","10.0"
"10","Saquon Barkley","PHI","14","RB7","8","13","","","","10.5"
"11","Austin Ekeler","","","RB8","12","9","","","","10.5"
"12","Aaron Jones Sr.","MIN","7","RB9","11","11","","","","11.0"
"13","Nick Chubb","","","RB10","13","12","","","","12.5"
"14","Stefon Diggs","","","WR3","14","14","","","","14.0"
"15","Antonio Gibson","","","RB11","15","15","","","","15.0"
"16","Calvin Ridley","TEN","13","WR4","16","17","","","","16.5"
"17","Najee Harris","LAC","7","RB12","18","16","","","","17.0"
"18","DeAndre Hopkins","BAL","8","WR5","17","18","","","","17.5"
"19","Joe Mixon","","","RB13","19","20","","","","19.5"
"20","DK Metcalf","PIT","7","WR6","20","21","","","","20.5"
"21","Darren Waller","","","TE2","21","22","","","","21.5"
"22","Justin Jefferson","MIN","7","WR7","22","23","","","","22.5"
"23","A.J. Brown","NE","14","WR8","23","24","","","","23.5"
"24","Clyde Edwards-Helaire","","","RB14","24","25","","","","24.5"
"25","Patrick Mahomes II","KC","12","QB1","32","19","","","","25.5"
"26","George Kittle","SF","6","TE3","26","29","","","","27.5"
"27","Keenan Allen","LAC","7","WR9","25","31","","","","28.0"
"28","David Montgomery","HOU","10","RB15","31","26","","","","28.5"
"29","Terry McLaurin","WAS","9","WR10","29","28","","","","28.5"
"30","CeeDee Lamb","DAL","7","WR11","30","30","","","","30.0"
"31","Allen Robinson","II","","WR12","27","34","","","","30.5"
"32","D'Andre Swift","CHI","10","RB16","28","36","","","","32.0"
"33","Robert Woods ","","","WR13","33","35","","","","34.0"
"34","Chris Carson ","","","RB17","35","33","","","","34.0"
"35","Josh Allen","BUF","7","QB2","46","27","","","","36.5"
"36","Mike Evans","SF","6","WR14","36","39","","","","37.5"
"37","Amari Cooper","","","WR15","34","43","","","","38.5"
"38","Josh Jacobs","GB","13","RB18","39","38","","","","38.5"
"39","James Robinson ","","","RB19","47","32","","","","39.5"
"40","Miles Sanders","","","RB20","37","42","","","","39.5"
"41","Chris Godwin Jr.","TB","9 ","WR16","38","41","","","","39.5"
"42","Cooper Kupp","SEA","9","WR17","42","44","","","","43.0"
"43","Tyler Lockett","LV","8","WR18","40","48","","","","44.0"
"44","Kyler Murray","MIN","7","QB3","54","37","","","","45.5"
"45","DJ Moore","BUF","7","WR19","41","54","","","","47.5"
"46","Diontae Johnson","","","WR20","43","56","","","","49.5"
"47","Kyle Pitts Sr.","ATL","6","TE4","53","47","","","","50.0"
"48","Javonte Williams","DAL","7","RB21","49","52","","","","50.5"
"49","Julio Jones","","","WR21","45","57","","","","51.0"
"50","Mike Davis","","","RB22","58","46","","","","52.0"
"51","Lamar Jackson","BAL","8","QB4","61","45","","","","53.0"
"52","Mark Andrews","BAL","8","TE5","55","51","","","","53.0"
"53","Adam Thielen","","","WR22","44","65","","","","54.5"
"54","Myles Gaskin","","","RB23","60","49","","","","54.5"
"55","T.J. Hockenson","MIN","7 ","TE6","56","53","","","","54.5"
"56","Darrell Henderson Jr.","","","RB24","51","59","","","","55.0"
"57","Brandon Aiyuk","SF","6","WR23","50","64","","","","57.0"
"58","Tee Higgins","CIN","10","WR24","48","67","","","","57.5"
"59","Kareem Hunt","","","RB25","52","63","","","","57.5"
"60","Dak Prescott","DAL","7","QB5","67","50","","","","58.5"
"61","Chase Edmonds","WAS","9","RB26","65","61","","","","63.0"
"62","Chase Claypool","","","WR25","57","71","","","","64.0"
"63","Russell Wilson","","","QB6","72","58","","","","65.0"
"64","Aaron Rodgers","PIT","7","QB7","77","55","","","","66.0"
"65","Damien Harris","","","RB27","76","60","","","","68.0"
"66","Odell Beckham Jr.","NYG","10","WR26","63","76","","","","69.5"
"67","Jerry Jeudy","CLE","13","WR27","64","75","","","","69.5"
"68","Kenny Golladay","","","WR28","66","73","","","","69.5"
"69","Raheem Mostert","LV","8 ","RB28","74","66","","","","70.0"
"70","JuJu Smith-Schuster","NYG","10","WR29","68","72","","","","70.0"
"71","Justin Herbert","LAC","7","QB8","79","62","","","","70.5"
"72","Trey Sermon","","","RB29","75","68","","","","71.5"
"73","Courtland Sutton","DEN","11","WR30","73","70","","","","71.5"
"74","Robbie Chosen","","","WR31","69","80","","","","74.5"
"75","Ja'Marr Chase","CIN","10","WR32","59","91","","","","75.0"
"76","Michael Thomas ","","","WR33","62","94","","","","78.0"
"77","Deebo Samuel Sr.","","","WR34","78","82","","","","80.0"
"78","Logan Thomas ","","","TE7","87","74","","","","80.5"
"79","Tom Brady","","","QB9","94","69","","","","81.5"
"80","Ronald Jones","II","","RB30","88","77","","","","82.5"
"81","Melvin Gordon","III","","RB31","82","83","","","","82.5"
"82","Tyler Boyd","","","WR35","70","97","","","","83.5"
"83","DeVonta Smith","PHI","14","WR36","86","81","","","","83.5"
"84","Noah Fant","NO","6","TE8","91","85","","","","88.0"
"85","Laviska Shenault Jr.","","","WR37","81","96","","","","88.5"
"86","Matthew Stafford","LAR","11","QB10","99","79","","","","89.0"
"87","Antonio Brown ","","","WR38","85","93","","","","89.0"
"88","Michael Carter","TEN","13","RB32","90","88","","","","89.0"
"89","Jalen Hurts","PHI","14","QB11","97","86","","","","91.5"
"90","Ryan Tannehill","","","QB12","107","78","","","","92.5"
"91","Brandin Cooks","","","WR39","83","103","","","","93.0"
"92","Corey Davis ","","","WR40","100","87","","","","93.5"
"93","Robert Tonyan","PIT","7 ","TE9","106","84","","","","95.0"
"94","Zack Moss","","","RB33","103","89","","","","96.0"
"95","Leonard Fournette","","","RB34","102","90","","","","96.0"
"96","Dallas Goedert","PHI","14","TE10","92","100","","","","96.0"
"97","DJ Chark Jr. ","","","WR41","80","113","","","","96.5"
"98","AJ Dillon","CAR","13","RB35","89","107","","","","98.0"
"99","William Fuller","V","","WR42","84","115","","","","99.5"
"100","Jarvis Landry","","","WR43","93","110","","","","101.5"
"101","Michael Pittman Jr.","PIT","7","WR44","105","98","","","","101.5"
"102","Joe Burrow","CIN","10","QB13","114","92","","","","103.0"
"103","James Conner","ARI","12","RB36","111","99","","","","105.0"
"104","Tyler Higbee","LAR","11 ","TE11","109","101","","","","105.0"
"105","Michael Gallup ","","","WR45","95","121","","","","108.0"
"106","Jamaal Williams","","","RB37","115","102","","","","108.5"
"107","Curtis Samuel","","","WR46","101","120","","","","110.5"
"108","Jaylen Waddle","DEN","11","WR47","108","114","","","","111.0"
"109","Kenyan Drake ","","","RB38","110","112","","","","111.0"
"110","Hollywood Brown","PHI","14","WR48","98","126","","","","112.0"
"111","Nyheim Miller-Hines","","","RB39","119","106","","","","112.5"
"112","Mike Gesicki","CIN","10","TE12","118","108","","","","113.0"
